coord,prob,n,zones,zone_mode,sort_method,zonal_sort,exp_density,var_density,min_density,median_density,max_density,exp_IB,var_IB,min_IB,median_IB,max_IB,exp_LB,var_LB,min_LB,median_LB,max_LB
swiss_uneq,default,16,"(2, 2)",sweep,lexico-xy,center,0.10,0.02,-0.12,0.12,0.33,-0.14,0.01,-0.31,-0.15,0.10,0.70,0.35,0.27,0.66,3.42
grid_eq,default,16,"(2, 2)",sweep,lexico-xy,spiral,0.10,0.01,-0.15,0.11,0.25,-0.45,0.02,-0.64,-0.49,-0.21,0.16,0.00,0.10,0.16,0.23
grid_uneq,default,16,"(2, 2)",sweep,lexico-xy,spiral,-0.06,0.03,-0.35,0.03,0.42,-0.16,0.01,-0.44,-0.12,0.08,0.45,4.31,0.10,0.30,158.39
random_eq,default,16,"(2, 2)",sweep,lexico-xy,spiral,0.04,0.01,-0.15,0.04,0.17,-0.44,0.00,-0.60,-0.45,-0.27,0.14,0.00,0.10,0.14,0.19
random_uneq,default,16,"(2, 2)",sweep,lexico-xy,spiral,-0.12,0.03,-0.41,-0.11,0.29,-0.35,0.00,-0.48,-0.35,-0.20,0.43,0.73,0.13,0.30,24.57
clust_eq,default,16,"(2, 2)",sweep,lexico-xy,spiral,0.01,0.01,-0.19,0.05,0.15,-0.41,0.01,-0.66,-0.41,-0.20,0.20,0.00,0.14,0.21,0.24
clust_uneq,default,16,"(2, 2)",sweep,lexico-xy,spiral,-0.07,0.01,-0.29,-0.06,0.14,-0.15,0.01,-0.35,-0.16,0.19,0.33,0.18,0.14,0.26,4.97
swiss_eq,default,16,"(2, 2)",sweep,lexico-xy,spiral,-0.00,0.02,-0.28,-0.02,0.19,-0.46,0.01,-0.60,-0.47,-0.21,0.15,0.00,0.09,0.14,0.20
swiss_uneq,default,16,"(2, 2)",sweep,lexico-xy,spiral,-0.03,0.01,-0.19,-0.06,0.23,-0.20,0.01,-0.37,-0.20,0.05,0.75,0.33,0.31,0.64,3.23
grid_eq,default,16,"(2, 2)",sweep,lexico-xy,max,0.09,0.01,-0.12,0.12,0.26,-0.42,0.01,-0.62,-0.42,-0.26,0.16,0.00,0.11,0.16,0.22
grid_uneq,default,16,"(2, 2)",sweep,lexico-xy,max,-0.10,0.03,-0.43,-0.09,0.45,-0.27,0.01,-0.43,-0.28,0.02,0.46,4.31,0.11,0.32,158.41
random_eq,default,16,"(2, 2)",sweep,lexico-xy,max,0.03,0.01,-0.18,0.05,0.26,-0.42,0.01,-0.63,-0.39,-0.21,0.14,0.00,0.08,0.13,0.17
random_uneq,default,16,"(2, 2)",sweep,lexico-xy,max,-0.19,0.04,-0.51,-0.17,0.25,-0.29,0.01,-0.48,-0.31,0.01,0.42,0.71,0.15,0.31,24.55
clust_eq,default,16,"(2, 2)",sweep,lexico-xy,max,0.01,0.01,-0.17,0.07,0.13,-0.35,0.02,-0.68,-0.32,-0.02,0.18,0.00,0.13,0.18,0.27
clust_uneq,default,16,"(2, 2)",sweep,lexico-xy,max,-0.05,0.01,-0.25,-0.07,0.21,-0.21,0.01,-0.38,-0.22,0.05,0.34,0.17,0.16,0.26,4.93
swiss_eq,default,16,"(2, 2)",sweep,lexico-xy,max,0.02,0.01,-0.19,0.06,0.16,-0.48,0.02,-0.64,-0.46,-0.22,0.14,0.00,0.10,0.14,0.19
swiss_uneq,default,16,"(2, 2)",sweep,lexico-xy,max,0.04,0.03,-0.31,0.09,0.42,-0.20,0.01,-0.42,-0.18,0.01,0.76,0.35,0.24,0.69,3.11
grid_eq,default,16,"(2, 2)",sweep,lexico-xy,hilbert,0.10,0.00,-0.09,0.10,0.20,-0.50,0.00,-0.63,-0.50,-0.35,0.16,0.00,0.11,0.16,0.20
grid_uneq,default,16,"(2, 2)",sweep,lexico-xy,hilbert,-0.11,0.02,-0.34,-0.08,0.27,-0.26,0.00,-0.42,-0.26,-0.09,0.49,4.27,0.10,0.30,158.31
random_eq,default,16,"(2, 2)",sweep,lexico-xy,hilbert,-0.00,0.01,-0.11,-0.03,0.16,-0.50,0.01,-0.67,-0.49,-0.33,0.15,0.00,0.10,0.15,0.21
random_uneq,default,16,"(2, 2)",sweep,lexico-xy,hilbert,-0.16,0.03,-0.44,-0.16,0.21,-0.33,0.01,-0.51,-0.32,-0.15,0.41,0.73,0.13,0.31,24.55
clust_eq,default,16,"(2, 2)",sweep,lexico-xy,hilbert,0.01,0.01,-0.13,0.07,0.18,-0.43,0.01,-0.65,-0.43,-0.21,0.20,0.00,0.15,0.20,0.27
clust_uneq,default,16,"(2, 2)",sweep,lexico-xy,hilbert,-0.06,0.01,-0.29,-0.04,0.19,-0.14,0.01,-0.35,-0.17,0.07,0.34,0.18,0.10,0.28,4.93
swiss_eq,default,16,"(2, 2)",sweep,lexico-xy,hilbert,0.03,0.01,-0.13,0.06,0.13,-0.55,0.00,-0.69,-0.55,-0.45,0.15,0.00,0.11,0.14,0.20
swiss_uneq,default,16,"(2, 2)",sweep,lexico-xy,hilbert,-0.05,0.02,-0.35,-0.11,0.19,-0.21,0.00,-0.31,-0.22,-0.02,0.71,0.29,0.25,0.67,2.57
grid_eq,default,16,"(2, 2)",sweep,lexico-xy,farthest,0.16,0.01,-0.12,0.14,0.40,-0.37,0.02,-0.66,-0.34,-0.06,0.13,0.00,0.09,0.13,0.16
grid_uneq,default,16,"(2, 2)",sweep,lexico-xy,farthest,-0.14,0.01,-0.32,-0.15,0.17,-0.10,0.01,-0.31,-0.12,0.17,0.46,4.27,0.12,0.28,158.31
random_eq,default,16,"(2, 2)",sweep,lexico-xy,farthest,0.05,0.01,-0.14,0.10,0.18,-0.45,0.02,-0.68,-0.44,-0.15,0.12,0.00,0.10,0.12,0.17
random_uneq,default,16,"(2, 2)",sweep,lexico-xy,farthest,-0.12,0.05,-0.47,-0.13,0.31,-0.26,0.00,-0.35,-0.27,-0.10,0.40,0.72,0.12,0.28,24.53
clust_eq,default,16,"(2, 2)",sweep,lexico-xy,farthest,0.01,0.00,-0.11,0.05,0.12,-0.32,0.01,-0.52,-0.30,-0.10,0.19,0.00,0.10,0.18,0.28
clust_uneq,default,16,"(2, 2)",sweep,lexico-xy,farthest,-0.07,0.02,-0.29,-0.08,0.18,-0.17,0.01,-0.28,-0.18,-0.02,0.33,0.18,0.10,0.27,4.99
swiss_eq,default,16,"(2, 2)",sweep,lexico-xy,farthest,0.01,0.01,-0.24,0.06,0.14,-0.36,0.01,-0.56,-0.37,-0.17,0.13,0.00,0.10,0.13,0.16
swiss_uneq,default,16,"(2, 2)",sweep,lexico-xy,farthest,0.01,0.02,-0.22,-0.07,0.25,-0.15,0.01,-0.34,-0.12,0.06,0.72,0.37,0.25,0.66,3.38
grid_eq,default,16,"(2, 2)",sweep,lexico-xy,grid,0.11,0.01,-0.20,0.13,0.27,-0.42,0.01,-0.64,-0.44,-0.17,0.15,0.00,0.11,0.15,0.23
grid_uneq,default,16,"(2, 2)",sweep,lexico-xy,grid,-0.19,0.03,-0.50,-0.18,0.26,-0.15,0.01,-0.34,-0.15,-0.01,0.50,4.26,0.10,0.33,158.40
random_eq,default,16,"(2, 2)",sweep,lexico-xy,grid,0.04,0.00,-0.08,0.05,0.15,-0.50,0.00,-0.59,-0.52,-0.35,0.14,0.00,0.07,0.14,0.19
random_uneq,default,16,"(2, 2)",sweep,lexico-xy,grid,-0.14,0.03,-0.40,-0.15,0.43,-0.30,0.01,-0.51,-0.31,-0.12,0.43,0.72,0.13,0.32,24.57
clust_eq,default,16,"(2, 2)",sweep,lexico-xy,grid,-0.01,0.01,-0.12,-0.05,0.18,-0.39,0.01,-0.62,-0.39,-0.16,0.19,0.00,0.13,0.19,0.29
clust_uneq,default,16,"(2, 2)",sweep,lexico-xy,grid,-0.05,0.02,-0.36,0.03,0.18,-0.19,0.01,-0.39,-0.19,-0.00,0.35,0.17,0.11,0.27,4.93
swiss_eq,default,16,"(2, 2)",sweep,lexico-xy,grid,0.00,0.01,-0.24,0.02,0.18,-0.47,0.01,-0.67,-0.46,-0.25,0.15,0.00,0.09,0.15,0.21
swiss_uneq,default,16,"(2, 2)",sweep,lexico-xy,grid,-0.06,0.02,-0.23,-0.12,0.23,-0.18,0.01,-0.40,-0.13,0.03,0.74,0.49,0.30,0.65,3.89
grid_eq,default,16,"(2, 2)",sweep,lexico-xy,shell,0.13,0.02,-0.22,0.16,0.39,-0.35,0.01,-0.53,-0.35,-0.09,0.14,0.00,0.11,0.13,0.18
grid_uneq,default,16,"(2, 2)",sweep,lexico-xy,shell,-0.11,0.04,-0.42,-0.09,0.32,-0.06,0.03,-0.33,-0.10,0.23,0.45,4.29,0.11,0.30,158.33
random_eq,default,16,"(2, 2)",sweep,lexico-xy,shell,0.08,0.01,-0.13,0.11,0.19,-0.36,0.02,-0.52,-0.38,-0.04,0.14,0.00,0.09,0.14,0.18
random_uneq,default,16,"(2, 2)",sweep,lexico-xy,shell,-0.12,0.07,-0.50,-0.14,0.43,-0.22,0.00,-0.37,-0.19,-0.02,0.40,0.73,0.15,0.29,24.55
clust_eq,default,16,"(2, 2)",sweep,lexico-xy,shell,-0.00,0.01,-0.14,-0.06,0.16,-0.23,0.02,-0.45,-0.26,0.17,0.16,0.00,0.12,0.16,0.20
clust_uneq,default,16,"(2, 2)",sweep,lexico-xy,shell,-0.07,0.01,-0.29,-0.09,0.21,-0.20,0.01,-0.32,-0.22,0.02,0.33,0.17,0.14,0.24,4.98
swiss_eq,default,16,"(2, 2)",sweep,lexico-xy,shell,0.01,0.01,-0.23,0.08,0.13,-0.37,0.01,-0.56,-0.39,-0.12,0.14,0.00,0.11,0.14,0.18
swiss_uneq,default,16,"(2, 2)",sweep,lexico-xy,shell,-0.06,0.01,-0.18,-0.08,0.16,-0.18,0.01,-0.35,-0.19,0.00,0.63,0.32,0.27,0.58,2.90
grid_eq,default,16,"(2, 2)",sweep,lexico-yx,lexico-xy,0.10,0.00,-0.11,0.12,0.21,-0.43,0.01,-0.65,-0.46,-0.16,0.17,0.00,0.12,0.17,0.25
grid_uneq,default,16,"(2, 2)",sweep,lexico-yx,lexico-xy,-0.10,0.02,-0.40,-0.12,0.30,-0.19,0.02,-0.46,-0.18,0.04,0.45,4.43,0.15,0.28,158.32
random_eq,default,16,"(2, 2)",sweep,lexico-yx,lexico-xy,0.04,0.01,-0.14,0.06,0.22,-0.40,0.01,-0.54,-0.41,-0.17,0.13,0.00,0.09,0.13,0.18
random_uneq,default,16,"(2, 2)",sweep,lexico-yx,lexico-xy,-0.11,0.04,-0.41,-0.08,0.36,-0.23,0.00,-0.36,-0.25,-0.04,0.39,0.75,0.11,0.28,24.60
clust_eq,default,16,"(2, 2)",sweep,lexico-yx,lexico-xy,0.04,0.00,-0.14,0.06,0.13,-0.35,0.01,-0.50,-0.35,-0.19,0.20,0.00,0.14,0.20,0.23
clust_uneq,default,16,"(2, 2)",sweep,lexico-yx,lexico-xy,-0.06,0.01,-0.25,-0.08,0.20,-0.21,0.01,-0.37,-0.21,-0.01,0.34,0.17,0.15,0.25,4.88
swiss_eq,default,16,"(2, 2)",sweep,lexico-yx,lexico-xy,0.03,0.02,-0.24,0.08,0.26,-0.48,0.01,-0.61,-0.50,-0.29,0.15,0.00,0.10,0.15,0.19
swiss_uneq,default,16,"(2, 2)",sweep,lexico-yx,lexico-xy,0.00,0.02,-0.30,0.08,0.33,-0.19,0.01,-0.34,-0.17,0.00,0.73,0.35,0.29,0.69,3.02
grid_eq,default,16,"(2, 2)",sweep,lexico-yx,lexico-yx,0.15,0.01,-0.10,0.17,0.28,-0.38,0.01,-0.60,-0.34,-0.12,0.15,0.00,0.09,0.15,0.19
grid_uneq,default,16,"(2, 2)",sweep,lexico-yx,lexico-yx,-0.05,0.02,-0.32,0.03,0.45,-0.17,0.02,-0.44,-0.19,0.06,0.44,4.33,0.10,0.31,158.32
random_eq,default,16,"(2, 2)",sweep,lexico-yx,lexico-yx,0.02,0.01,-0.12,0.05,0.19,-0.41,0.00,-0.58,-0.42,-0.24,0.15,0.00,0.10,0.15,0.21
random_uneq,default,16,"(2, 2)",sweep,lexico-yx,lexico-yx,-0.14,0.03,-0.42,-0.13,0.40,-0.26,0.01,-0.45,-0.31,-0.00,0.39,0.74,0.11,0.31,24.65
clust_eq,default,16,"(2, 2)",sweep,lexico-yx,lexico-yx,0.01,0.01,-0.16,0.07,0.13,-0.41,0.01,-0.60,-0.41,-0.25,0.18,0.00,0.10,0.17,0.27
clust_uneq,default,16,"(2, 2)",sweep,lexico-yx,lexico-yx,-0.07,0.02,-0.24,-0.07,0.22,-0.20,0.01,-0.40,-0.20,0.03,0.33,0.18,0.12,0.24,4.97
swiss_eq,default,16,"(2, 2)",sweep,lexico-yx,lexico-yx,0.01,0.01,-0.15,0.02,0.14,-0.41,0.01,-0.57,-0.39,-0.20,0.15,0.00,0.11,0.14,0.21
swiss_uneq,default,16,"(2, 2)",sweep,lexico-yx,lexico-yx,0.02,0.02,-0.25,0.08,0.19,-0.21,0.01,-0.38,-0.22,0.01,0.79,0.34,0.25,0.72,3.08
grid_eq,default,16,"(2, 2)",sweep,lexico-yx,random,0.16,0.02,-0.15,0.12,0.44,-0.37,0.01,-0.63,-0.37,-0.12,0.13,0.00,0.08,0.13,0.16
grid_uneq,default,16,"(2, 2)",sweep,lexico-yx,random,-0.08,0.03,-0.44,-0.07,0.35,-0.10,0.01,-0.27,-0.10,0.12,0.42,4.28,0.12,0.28,158.26
random_eq,default,16,"(2, 2)",sweep,lexico-yx,random,0.04,0.01,-0.17,0.10,0.21,-0.35,0.01,-0.53,-0.34,-0.13,0.12,0.00,0.09,0.12,0.18
random_uneq,default,16,"(2, 2)",sweep,lexico-yx,random,-0.14,0.04,-0.56,-0.14,0.34,-0.25,0.01,-0.40,-0.25,-0.04,0.41,0.73,0.16,0.30,24.56
clust_eq,default,16,"(2, 2)",sweep,lexico-yx,random,-0.01,0.01,-0.23,-0.06,0.17,-0.38,0.01,-0.60,-0.37,-0.12,0.18,0.00,0.11,0.18,0.23
clust_uneq,default,16,"(2, 2)",sweep,lexico-yx,random,-0.08,0.01,-0.29,-0.10,0.13,-0.13,0.01,-0.32,-0.14,0.11,0.32,0.17,0.15,0.24,4.97
swiss_eq,default,16,"(2, 2)",sweep,lexico-yx,random,0.01,0.02,-0.20,-0.03,0.26,-0.34,0.01,-0.51,-0.31,-0.13,0.14,0.00,0.10,0.14,0.17
swiss_uneq,default,16,"(2, 2)",sweep,lexico-yx,random,0.06,0.02,-0.19,0.08,0.37,-0.19,0.01,-0.33,-0.18,-0.03,0.72,0.34,0.29,0.61,3.24
grid_eq,default,16,"(2, 2)",sweep,lexico-yx,angle_0,0.12,0.01,-0.08,0.12,0.24,-0.40,0.02,-0.66,-0.42,-0.09,0.16,0.00,0.09,0.17,0.22
grid_uneq,default,16,"(2, 2)",sweep,lexico-yx,angle_0,-0.08,0.03,-0.41,-0.07,0.42,-0.23,0.01,-0.35,-0.21,-0.02,0.45,4.45,0.10,0.32,158.41
random_eq,default,16,"(2, 2)",sweep,lexico-yx,angle_0,0.03,0.02,-0.25,0.05,0.27,-0.46,0.01,-0.62,-0.45,-0.28,0.14,0.00,0.09,0.14,0.19
random_uneq,default,16,"(2, 2)",sweep,lexico-yx,angle_0,-0.11,0.03,-0.41,-0.07,0.30,-0.30,0.01,-0.47,-0.32,-0.06,0.39,0.75,0.11,0.28,24.57
clust_eq,default,16,"(2, 2)",sweep,lexico-yx,angle_0,0.00,0.01,-0.13,0.05,0.10,-0.35,0.01,-0.56,-0.35,-0.19,0.19,0.00,0.11,0.18,0.30
clust_uneq,default,16,"(2, 2)",sweep,lexico-yx,angle_0,-0.07,0.02,-0.31,-0.10,0.21,-0.20,0.01,-0.39,-0.18,0.05,0.34,0.18,0.10,0.28,4.93
swiss_eq,default,16,"(2, 2)",sweep,lexico-yx,angle_0,0.01,0.02,-0.25,0.06,0.24,-0.46,0.01,-0.65,-0.45,-0.21,0.15,0.00,0.10,0.15,0.20
swiss_uneq,default,16,"(2, 2)",sweep,lexico-yx,angle_0,-0.01,0.02,-0.27,-0.06,0.34,-0.19,0.01,-0.31,-0.19,0.04,0.76,0.37,0.30,0.82,3.45
grid_eq,default,16,"(2, 2)",sweep,lexico-yx,distance_0,0.11,0.01,-0.07,0.12,0.30,-0.45,0.01,-0.68,-0.45,-0.30,0.16,0.00,0.11,0.15,0.22
grid_uneq,default,16,"(2, 2)",sweep,lexico-yx,distance_0,-0.14,0.03,-0.41,-0.10,0.30,-0.20,0.01,-0.40,-0.23,0.01,0.48,4.28,0.14,0.29,158.30
random_eq,default,16,"(2, 2)",sweep,lexico-yx,distance_0,0.06,0.01,-0.14,0.08,0.22,-0.42,0.01,-0.57,-0.41,-0.22,0.14,0.00,0.12,0.15,0.18
random_uneq,default,16,"(2, 2)",sweep,lexico-yx,distance_0,-0.12,0.03,-0.39,-0.14,0.27,-0.31,0.01,-0.54,-0.30,-0.09,0.40,0.75,0.14,0.29,24.51
clust_eq,default,16,"(2, 2)",sweep,lexico-yx,distance_0,0.01,0.01,-0.18,0.04,0.13,-0.40,0.01,-0.68,-0.39,-0.19,0.19,0.00,0.12,0.19,0.25
clust_uneq,default,16,"(2, 2)",sweep,lexico-yx,distance_0,-0.07,0.02,-0.31,-0.08,0.23,-0.19,0.01,-0.38,-0.17,0.03,0.34,0.17,0.11,0.26,4.89
swiss_eq,default,16,"(2, 2)",sweep,lexico-yx,distance_0,0.01,0.01,-0.15,0.05,0.17,-0.48,0.01,-0.70,-0.45,-0.30,0.15,0.00,0.10,0.15,0.21
swiss_uneq,default,16,"(2, 2)",sweep,lexico-yx,distance_0,0.01,0.02,-0.25,-0.03,0.31,-0.20,0.00,-0.36,-0.20,-0.03,0.79,0.34,0.30,0.68,2.83
grid_eq,default,16,"(2, 2)",sweep,lexico-yx,projection,0.09,0.00,-0.02,0.09,0.19,-0.49,0.01,-0.72,-0.47,-0.30,0.16,0.00,0.08,0.15,0.23
grid_uneq,default,16,"(2, 2)",sweep,lexico-yx,projection,-0.10,0.03,-0.35,-0.09,0.39,-0.25,0.00,-0.37,-0.27,-0.05,0.47,4.32,0.11,0.35,158.58
random_eq,default,16,"(2, 2)",sweep,lexico-yx,projection,0.04,0.01,-0.13,0.05,0.18,-0.49,0.01,-0.68,-0.52,-0.22,0.13,0.00,0.07,0.13,0.19
random_uneq,default,16,"(2, 2)",sweep,lexico-yx,projection,-0.08,0.03,-0.43,-0.11,0.34,-0.30,0.01,-0.53,-0.31,0.01,0.37,0.74,0.11,0.26,24.51
clust_eq,default,16,"(2, 2)",sweep,lexico-yx,projection,0.02,0.01,-0.12,0.07,0.12,-0.42,0.01,-0.66,-0.40,-0.23,0.19,0.00,0.14,0.18,0.26
clust_uneq,default,16,"(2, 2)",sweep,lexico-yx,projection,-0.06,0.01,-0.21,-0.09,0.22,-0.17,0.01,-0.34,-0.18,0.15,0.34,0.18,0.11,0.26,4.89
swiss_eq,default,16,"(2, 2)",sweep,lexico-yx,projection,0.02,0.01,-0.14,0.06,0.17,-0.49,0.02,-0.67,-0.48,-0.12,0.14,0.00,0.10,0.13,0.20
swiss_uneq,default,16,"(2, 2)",sweep,lexico-yx,projection,0.01,0.01,-0.26,0.08,0.25,-0.21,0.01,-0.39,-0.16,0.02,0.73,0.36,0.26,0.71,2.81
grid_eq,default,16,"(2, 2)",sweep,lexico-yx,center,0.14,0.02,-0.24,0.19,0.40,-0.42,0.01,-0.64,-0.42,-0.16,0.14,0.00,0.10,0.14,0.18
grid_uneq,default,16,"(2, 2)",sweep,lexico-yx,center,-0.09,0.04,-0.40,-0.10,0.31,-0.10,0.01,-0.42,-0.08,0.12,0.43,4.32,0.12,0.26,158.26
random_eq,default,16,"(2, 2)",sweep,lexico-yx,center,0.04,0.02,-0.17,0.09,0.27,-0.38,0.01,-0.58,-0.39,-0.13,0.12,0.00,0.08,0.12,0.19
random_uneq,default,16,"(2, 2)",sweep,lexico-yx,center,-0.12,0.04,-0.46,-0.16,0.44,-0.21,0.01,-0.44,-0.20,-0.05,0.40,0.75,0.10,0.33,24.68
clust_eq,default,16,"(2, 2)",sweep,lexico-yx,center,0.04,0.01,-0.10,0.06,0.21,-0.31,0.02,-0.57,-0.33,-0.03,0.17,0.00,0.10,0.16,0.29
clust_uneq,default,16,"(2, 2)",sweep,lexico-yx,center,-0.08,0.02,-0.35,-0.09,0.25,-0.13,0.01,-0.32,-0.14,0.13,0.33,0.17,0.14,0.22,4.88
swiss_eq,default,16,"(2, 2)",sweep,lexico-yx,center,0.03,0.01,-0.17,0.08,0.15,-0.39,0.02,-0.63,-0.39,-0.15,0.12,0.00,0.09,0.12,0.19
swiss_uneq,default,16,"(2, 2)",sweep,lexico-yx,center,-0.01,0.02,-0.23,-0.05,0.29,-0.18,0.01,-0.39,-0.16,0.09,0.67,0.29,0.24,0.66,2.80
grid_eq,default,16,"(2, 2)",sweep,lexico-yx,spiral,0.12,0.01,-0.10,0.13,0.25,-0.43,0.01,-0.64,-0.41,-0.19,0.16,0.00,0.08,0.15,0.21
grid_uneq,default,16,"(2, 2)",sweep,lexico-yx,spiral,-0.10,0.04,-0.46,-0.07,0.42,-0.15,0.02,-0.37,-0.18,0.16,0.46,4.32,0.11,0.34,158.47
random_eq,default,16,"(2, 2)",sweep,lexico-yx,spiral,0.02,0.00,-0.10,0.04,0.16,-0.49,0.00,-0.61,-0.50,-0.37,0.14,0.00,0.09,0.14,0.18
random_uneq,default,16,"(2, 2)",sweep,lexico-yx,spiral,-0.11,0.02,-0.37,-0.09,0.30,-0.26,0.01,-0.41,-0.23,-0.05,0.40,0.74,0.09,0.30,24.55
clust_eq,default,16,"(2, 2)",sweep,lexico-yx,spiral,0.01,0.01,-0.16,0.05,0.13,-0.41,0.01,-0.67,-0.40,-0.20,0.20,0.00,0.11,0.20,0.25
clust_uneq,default,16,"(2, 2)",sweep,lexico-yx,spiral,-0.05,0.02,-0.30,0.04,0.17,-0.16,0.01,-0.31,-0.20,0.07,0.35,0.17,0.13,0.30,4.97
swiss_eq,default,16,"(2, 2)",sweep,lexico-yx,spiral,0.00,0.01,-0.26,-0.05,0.25,-0.48,0.00,-0.61,-0.51,-0.27,0.15,0.00,0.09,0.16,0.20
swiss_uneq,default,16,"(2, 2)",sweep,lexico-yx,spiral,-0.02,0.01,-0.24,-0.07,0.34,-0.20,0.01,-0.37,-0.17,-0.02,0.76,0.37,0.28,0.65,3.08
grid_eq,default,16,"(2, 2)",sweep,lexico-yx,max,0.11,0.02,-0.16,0.09,0.33,-0.44,0.01,-0.67,-0.45,-0.24,0.15,0.00,0.08,0.15,0.21
grid_uneq,default,16,"(2, 2)",sweep,lexico-yx,max,-0.09,0.03,-0.30,-0.01,0.38,-0.26,0.00,-0.43,-0.24,-0.10,0.46,4.35,0.11,0.33,158.41
random_eq,default,16,"(2, 2)",sweep,lexico-yx,max,0.04,0.02,-0.21,0.04,0.33,-0.44,0.01,-0.67,-0.41,-0.30,0.14,0.00,0.10,0.14,0.19
random_uneq,default,16,"(2, 2)",sweep,lexico-yx,max,-0.11,0.04,-0.48,-0.15,0.24,-0.30,0.01,-0.45,-0.34,0.06,0.40,0.73,0.14,0.28,24.56
clust_eq,default,16,"(2, 2)",sweep,lexico-yx,max,0.02,0.01,-0.18,0.07,0.13,-0.34,0.02,-0.69,-0.32,-0.04,0.17,0.00,0.11,0.16,0.25
clust_uneq,default,16,"(2, 2)",sweep,lexico-yx,max,-0.06,0.02,-0.31,-0.10,0.23,-0.21,0.01,-0.41,-0.23,0.09,0.34,0.18,0.15,0.23,4.98
swiss_eq,default,16,"(2, 2)",sweep,lexico-yx,max,0.04,0.02,-0.23,0.08,0.19,-0.45,0.02,-0.70,-0.45,-0.01,0.15,0.00,0.11,0.15,0.20
swiss_uneq,default,16,"(2, 2)",sweep,lexico-yx,max,0.03,0.01,-0.22,0.05,0.37,-0.24,0.01,-0.36,-0.22,-0.04,0.81,0.42,0.32,0.68,3.11
grid_eq,default,16,"(2, 2)",sweep,lexico-yx,hilbert,0.08,0.01,-0.11,0.09,0.23,-0.52,0.00,-0.64,-0.56,-0.37,0.17,0.00,0.11,0.17,0.22
grid_uneq,default,16,"(2, 2)",sweep,lexico-yx,hilbert,-0.07,0.03,-0.37,-0.05,0.38,-0.27,0.01,-0.41,-0.29,-0.05,0.45,4.33,0.11,0.33,158.41
random_eq,default,16,"(2, 2)",sweep,lexico-yx,hilbert,-0.00,0.00,-0.16,-0.02,0.12,-0.54,0.00,-0.63,-0.54,-0.43,0.15,0.00,0.10,0.15,0.19
random_uneq,default,16,"(2, 2)",sweep,lexico-yx,hilbert,-0.12,0.03,-0.39,-0.09,0.34,-0.35,0.01,-0.51,-0.35,-0.16,0.40,0.75,0.11,0.31,24.60
clust_eq,default,16,"(2, 2)",sweep,lexico-yx,hilbert,0.02,0.01,-0.13,0.06,0.14,-0.47,0.01,-0.67,-0.50,-0.21,0.19,0.00,0.12,0.18,0.24
clust_uneq,default,16,"(2, 2)",sweep,lexico-yx,hilbert,-0.06,0.02,-0.32,-0.06,0.24,-0.20,0.00,-0.37,-0.17,-0.03,0.35,0.18,0.14,0.28,4.98
swiss_eq,default,16,"(2, 2)",sweep,lexico-yx,hilbert,0.03,0.00,-0.09,0.04,0.19,-0.48,0.01,-0.64,-0.49,-0.35,0.15,0.00,0.09,0.15,0.23
swiss_uneq,default,16,"(2, 2)",sweep,lexico-yx,hilbert,-0.04,0.01,-0.27,-0.07,0.25,-0.18,0.01,-0.41,-0.17,-0.02,0.73,0.30,0.26,0.66,3.39
grid_eq,default,16,"(2, 2)",sweep,lexico-yx,farthest,0.18,0.01,-0.11,0.19,0.34,-0.23,0.01,-0.46,-0.21,0.02,0.14,0.00,0.10,0.14,0.19
grid_uneq,default,16,"(2, 2)",sweep,lexico-yx,farthest,-0.10,0.05,-0.38,-0.15,0.51,-0.15,0.01,-0.45,-0.15,0.09,0.46,4.31,0.09,0.28,158.26
random_eq,default,16,"(2, 2)",sweep,lexico-yx,farthest,0.08,0.01,-0.10,0.10,0.22,-0.37,0.01,-0.56,-0.40,-0.18,0.14,0.00,0.07,0.14,0.20
random_uneq,default,16,"(2, 2)",sweep,lexico-yx,farthest,-0.08,0.04,-0.37,-0.11,0.43,-0.22,0.02,-0.43,-0.25,0.12,0.37,0.74,0.11,0.28,24.53
clust_eq,default,16,"(2, 2)",sweep,lexico-yx,farthest,0.02,0.01,-0.13,0.05,0.19,-0.31,0.01,-0.47,-0.33,-0.06,0.16,0.00,0.11,0.16,0.23
clust_uneq,default,16,"(2, 2)",sweep,lexico-yx,farthest,-0.05,0.02,-0.36,-0.05,0.24,-0.19,0.01,-0.47,-0.19,0.09,0.31,0.17,0.13,0.21,4.89
swiss_eq,default,16,"(2, 2)",sweep,lexico-yx,farthest,0.01,0.03,-0.28,0.08,0.23,-0.42,0.01,-0.63,-0.43,-0.12,0.14,0.00,0.10,0.14,0.20
swiss_uneq,default,16,"(2, 2)",sweep,lexico-yx,farthest,0.06,0.03,-0.33,0.10,0.43,-0.16,0.01,-0.29,-0.17,0.00,0.81,0.45,0.27,0.70,3.27
grid_eq,default,16,"(2, 2)",sweep,lexico-yx,grid,0.12,0.00,-0.04,0.13,0.18,-0.43,0.01,-0.58,-0.44,-0.24,0.15,0.00,0.09,0.15,0.19
grid_uneq,default,16,"(2, 2)",sweep,lexico-yx,grid,-0.09,0.04,-0.39,0.07,0.37,-0.21,0.01,-0.35,-0.22,-0.01,0.46,4.32,0.12,0.35,158.33
random_eq,default,16,"(2, 2)",sweep,lexico-yx,grid,0.01,0.01,-0.15,0.03,0.17,-0.48,0.01,-0.64,-0.49,-0.32,0.14,0.00,0.09,0.14,0.22
